#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,MSE(training),MSE(test)
100,2,200,0.8,0.9,1,0.010317776545406483,0.11061472758989752
100,2,100,0.8,0.9,1,0.13158041527313913,0.17026273976850012
100,2,50,0.8,0.9,1,0.3713792890906367,0.2530778240140369
100,2,200,0.8,0.9,0.7,0.007126849453296732,0.10050725625431209
100,2,100,0.8,0.9,0.7,0.028067129212070552,0.1287816873174224
100,2,50,0.8,0.9,0.7,0.12963107585219544,0.18951803405222525
100,2,200,0.8,0.9,0.5,0.006300728390933125,0.10552679442229518
100,2,100,0.8,0.9,0.5,0.033295293327245234,0.12746468958116924
100,2,50,0.8,0.9,0.5,0.11889946565245131,0.2576607997345263
100,2,200,0.8,0.9,0.2,0.006706730046221892,0.10534923835911682
100,2,100,0.8,0.9,0.2,0.03178476191218389,0.14590883101392604
100,2,50,0.8,0.9,0.2,0.05761757161017935,0.18662308103302952
100,2,200,0.8,0.9,0,0.006212991694555251,0.10285009114104561
100,2,100,0.8,0.9,0,0.02617720662068178,0.15418080770089043
100,2,50,0.8,0.9,0,0.04735039462033303,0.12958993252240958
100,2,200,0.8,0.5,1,0.007645365655468024,0.10851034242494466
100,2,100,0.8,0.5,1,0.039362951790897535,0.14060151023422673
100,2,50,0.8,0.5,1,0.08050533750945045,0.12722928198353803
100,2,200,0.8,0.5,0.7,0.008493997490662342,0.11810420517033558
100,2,100,0.8,0.5,0.7,0.02267030807341205,0.1467888717433932
100,2,50,0.8,0.5,0.7,0.06391119869047049,0.1810140622512604
100,2,200,0.8,0.5,0.5,0.007046944662861525,0.12379563898357075
100,2,100,0.8,0.5,0.5,0.02267055398636478,0.12947317298977926
100,2,50,0.8,0.5,0.5,0.04179056199458642,0.17957245830470683
100,2,200,0.8,0.5,0.2,0.006839200692580671,0.14537430667098747
100,2,100,0.8,0.5,0.2,0.017123068835525564,0.153042148603707
100,2,50,0.8,0.5,0.2,0.03924603150700507,0.1581324576513229
100,2,200,0.8,0.5,0,0.004249214087350076,0.1259490992504353
100,2,100,0.8,0.5,0,0.016237289177539894,0.12790783111908938
100,2,50,0.8,0.5,0,0.04195351279707909,0.13141606592009272
100,2,200,0.8,0.1,1,0.010123753205567933,0.11107635159776184
100,2,100,0.8,0.1,1,0.0245112354051453,0.1075769895115401
100,2,50,0.8,0.1,1,0.04287822342073738,0.10196902888478436
100,2,200,0.8,0.1,0.7,0.011678746972237992,0.11033610668987753
100,2,100,0.8,0.1,0.7,0.026230531203931925,0.10439730303254656
100,2,50,0.8,0.1,0.7,0.042932081562725495,0.09920722653813077
100,2,200,0.8,0.1,0.5,0.012004400426239991,0.11154531105200002
100,2,100,0.8,0.1,0.5,0.02659443428283587,0.10381137120219373
100,2,50,0.8,0.1,0.5,0.04189233872960682,0.09960408868231704
100,2,200,0.8,0.1,0.2,0.014839285393865748,0.10368523948565381
100,2,100,0.8,0.1,0.2,0.02941756032476653,0.09704758975886137
100,2,50,0.8,0.1,0.2,0.04380937781512505,0.09367461115028039
100,2,200,0.8,0.1,0,0.016867432047525215,0.10149770842111129
100,2,100,0.8,0.1,0,0.031151089643803306,0.09504647791336245
100,2,50,0.8,0.1,0,0.04522818148480328,0.09251058529153616
100,2,200,0.5,0.9,1,0.009804588881321899,0.11479431865703388
100,2,100,0.5,0.9,1,0.17023595656165214,0.10333583111855522
100,2,50,0.5,0.9,1,0.38780754193276173,0.4132370149277361
100,2,200,0.5,0.9,0.7,0.004823473100307987,0.1084636402528209
100,2,100,0.5,0.9,0.7,0.02794747538584429,0.12625235859045592
100,2,50,0.5,0.9,0.7,0.07602037445918317,0.13266208841449512
100,2,200,0.5,0.9,0.5,0.004906654552095452,0.10135476067697542
100,2,100,0.5,0.9,0.5,0.01905024513437366,0.10108029990124393
100,2,50,0.5,0.9,0.5,0.06920687877075038,0.12816137946125927
100,2,200,0.5,0.9,0.2,0.005140711536831565,0.10531975956815368
100,2,100,0.5,0.9,0.2,0.02093632111591644,0.10991621756757389
100,2,50,0.5,0.9,0.2,0.06670211588897305,0.12027587477608698
100,2,200,0.5,0.9,0,0.007639542560524475,0.1137641603867434
100,2,100,0.5,0.9,0,0.027028826340923386,0.11666632869477972
100,2,50,0.5,0.9,0,0.06856277342562737,0.1465399228460734
100,2,200,0.5,0.5,1,0.00737737012959843,0.10865772887763259
100,2,100,0.5,0.5,1,0.0261240167925706,0.10165076812215557
100,2,50,0.5,0.5,1,0.06859062745779444,0.11642713394302351
100,2,200,0.5,0.5,0.7,0.007445568497820784,0.11541637071447967
100,2,100,0.5,0.5,0.7,0.036394508293051596,0.12299241250487347
100,2,50,0.5,0.5,0.7,0.0665011555185812,0.13201183311818016
100,2,200,0.5,0.5,0.5,0.008806686874179211,0.13464420146337272
100,2,100,0.5,0.5,0.5,0.02983366505284008,0.1282465997116887
100,2,50,0.5,0.5,0.5,0.06565308351267912,0.1567096924699651
100,2,200,0.5,0.5,0.2,0.01117797394288529,0.12288943493905559
100,2,100,0.5,0.5,0.2,0.032760722013056985,0.1278271688393944
100,2,50,0.5,0.5,0.2,0.06303349354393417,0.14096840351054335
100,2,200,0.5,0.5,0,0.00889224628501278,0.11110787622368647
100,2,100,0.5,0.5,0,0.028122547836979876,0.11084538163020935
100,2,50,0.5,0.5,0,0.05759284245241952,0.11968974188688979
100,2,200,0.5,0.1,1,0.019211434395929577,0.0950719298725446
100,2,100,0.5,0.1,1,0.037810160275743465,0.09123804804561346
100,2,50,0.5,0.1,1,0.05469201668567019,0.08915240748257575
100,2,200,0.5,0.1,0.7,0.021525204852642976,0.09114504422775399
100,2,100,0.5,0.1,0.7,0.039013098524167455,0.0874595875953069
100,2,50,0.5,0.1,0.7,0.054400337152477045,0.0873354644106599
100,2,200,0.5,0.1,0.5,0.023431498788000632,0.08898755779246596
100,2,100,0.5,0.1,0.5,0.04006276428788703,0.08572646697568702
100,2,50,0.5,0.1,0.5,0.05477859006454713,0.08553796651548377
100,2,200,0.5,0.1,0.2,0.026045083612768485,0.08603136890827744
100,2,100,0.5,0.1,0.2,0.04203116226649822,0.08316759137618784
100,2,50,0.5,0.1,0.2,0.055655874686229394,0.0824634561936518
100,2,200,0.5,0.1,0,0.028916007313924692,0.08546136419810557
100,2,100,0.5,0.1,0,0.044562860794471734,0.08307929501344952
100,2,50,0.5,0.1,0,0.05728866498122098,0.08202389781632925
100,2,200,0.2,0.9,1,0.007208317694541725,0.10204317520029899
100,2,100,0.2,0.9,1,0.018660456540933717,0.12089762056894614
100,2,50,0.2,0.9,1,0.04759210797382358,0.13116410774183476
100,2,200,0.2,0.9,0.7,0.007135812894627898,0.10427082699779149
100,2,100,0.2,0.9,0.7,0.020984840324597676,0.0989940191942113
100,2,50,0.2,0.9,0.7,0.055883178028965495,0.11663465123768992
100,2,200,0.2,0.9,0.5,0.005581252367182183,0.11611563121006935
100,2,100,0.2,0.9,0.5,0.02169715129618844,0.11983453346338943
100,2,50,0.2,0.9,0.5,0.052813465374044744,0.1247661895122958
100,2,200,0.2,0.9,0.2,0.006764612977634837,0.11781148099704335
100,2,100,0.2,0.9,0.2,0.02248447998359813,0.09491001777776968
100,2,50,0.2,0.9,0.2,0.05000472847379575,0.10801971775214982
100,2,200,0.2,0.9,0,0.01004777681320589,0.10577670830760155
100,2,100,0.2,0.9,0,0.025337984711253383,0.1031954463248804
