#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
100,2,200,0.8,0.9,1,0.42857142857142855,0.3076923076923077
100,2,100,0.8,0.9,1,0.42857142857142855,0.3076923076923077
100,2,50,0.8,0.9,1,0.42857142857142855,0.3076923076923077
100,2,200,0.8,0.9,0.7,1.0,0.9090909090909091
100,2,100,0.8,0.9,0.7,1.0,0.9090909090909091
100,2,50,0.8,0.9,0.7,1.0,0.9090909090909091
100,2,200,0.8,0.9,0.5,1.0,0.8811188811188811
100,2,100,0.8,0.9,0.5,1.0,0.8811188811188811
100,2,50,0.8,0.9,0.5,1.0,0.8811188811188811
100,2,200,0.8,0.9,0.2,1.0,0.916083916083916
100,2,100,0.8,0.9,0.2,1.0,0.9020979020979021
100,2,50,0.8,0.9,0.2,0.9142857142857143,0.8811188811188811
100,2,200,0.8,0.9,0,1.0,0.8951048951048951
100,2,100,0.8,0.9,0,1.0,0.8951048951048951
100,2,50,0.8,0.9,0,1.0,0.8951048951048951
100,2,200,0.8,0.5,1,1.0,0.9230769230769231
100,2,100,0.8,0.5,1,1.0,0.9230769230769231
100,2,50,0.8,0.5,1,1.0,0.916083916083916
100,2,200,0.8,0.5,0.7,1.0,0.9370629370629371
100,2,100,0.8,0.5,0.7,1.0,0.9300699300699301
100,2,50,0.8,0.5,0.7,1.0,0.9300699300699301
100,2,200,0.8,0.5,0.5,1.0,0.916083916083916
100,2,100,0.8,0.5,0.5,1.0,0.916083916083916
100,2,50,0.8,0.5,0.5,1.0,0.9230769230769231
100,2,200,0.8,0.5,0.2,1.0,0.9300699300699301
100,2,100,0.8,0.5,0.2,1.0,0.9300699300699301
100,2,50,0.8,0.5,0.2,1.0,0.9300699300699301
100,2,200,0.8,0.5,0,1.0,0.916083916083916
100,2,100,0.8,0.5,0,1.0,0.9090909090909091
100,2,50,0.8,0.5,0,1.0,0.9020979020979021
100,2,200,0.8,0.1,1,1.0,0.9300699300699301
100,2,100,0.8,0.1,1,1.0,0.9300699300699301
100,2,50,0.8,0.1,1,1.0,0.9300699300699301
100,2,200,0.8,0.1,0.7,1.0,0.9230769230769231
100,2,100,0.8,0.1,0.7,1.0,0.9300699300699301
100,2,50,0.8,0.1,0.7,1.0,0.916083916083916
100,2,200,0.8,0.1,0.5,1.0,0.9230769230769231
